,predicate,subject,object,sub,pred,obj
18263,11992,8332,872,8332,11992,872
18264,11992,8409,958,8409,11992,958
18265,11992,5520,673,5520,11992,673
18266,11992,9121,448,9121,11992,448
18267,11992,1598,1127,1598,11992,1127
18268,11992,5877,1187,5877,11992,1187
18269,11992,2777,1322,2777,11992,1322
18270,11992,9629,211,9629,11992,211
18271,11992,4010,1190,4010,11992,1190
18272,11992,6418,1016,6418,11992,1016
18273,11992,10767,310,10767,11992,310
18274,11992,5385,1204,5385,11992,1204
18275,11992,10592,553,10592,11992,553
18276,11992,9572,1480,9572,11992,1480
18277,11992,6492,223,6492,11992,223
18278,11992,4313,803,4313,11992,803
18279,11992,4623,1298,4623,11992,1298
18280,11992,11555,676,11555,11992,676
18281,11992,9781,1205,9781,11992,1205
18282,11992,2163,82,2163,11992,82
18283,11992,2136,147,2136,11992,147
18284,11992,1737,798,1737,11992,798
18285,11992,11687,1367,11687,11992,1367
18286,11992,11781,1457,11781,11992,1457
18287,11992,10608,671,10608,11992,671
18288,11992,8570,638,8570,11992,638
18289,11992,5892,139,5892,11992,139
18290,11992,5924,754,5924,11992,754
18291,11992,6848,715,6848,11992,715
18292,11992,6953,1127,6953,11992,1127
18293,11992,11287,1314,11287,11992,1314
18294,11992,8164,483,8164,11992,483
18295,11992,6226,229,6226,11992,229
18296,11992,6259,947,6259,11992,947
18297,11992,10855,235,10855,11992,235
18298,11992,6479,1354,6479,11992,1354
18299,11992,3244,739,3244,11992,739
18300,11992,8254,1363,8254,11992,1363
18301,11992,6623,11,6623,11992,11
18302,11992,7941,1206,7941,11992,1206
18303,11992,11136,286,11136,11992,286
18304,11992,9822,6,9822,11992,6
18305,11992,3143,1023,3143,11992,1023
18306,11992,5878,944,5878,11992,944
18307,11992,4771,403,4771,11992,403
18308,11992,2890,786,2890,11992,786
18309,11992,11832,726,11832,11992,726
18310,11992,6778,445,6778,11992,445
18311,11992,6446,373,6446,11992,373
18312,11992,5420,149,5420,11992,149
18313,11992,8703,330,8703,11992,330
18314,11992,10981,302,10981,11992,302
18315,11992,10201,99,10201,11992,99
18316,11992,10877,270,10877,11992,270
18317,11992,8995,1200,8995,11992,1200
18318,11992,8064,281,8064,11992,281
18319,11992,8255,251,8255,11992,251
18320,11992,6280,621,6280,11992,621
18321,11992,4659,317,4659,11992,317
18322,11992,2818,1326,2818,11992,1326
18323,11992,7104,1032,7104,11992,1032
18324,11992,5338,976,5338,11992,976
18325,11992,4660,70,4660,11992,70
18326,11992,11948,1076,11948,11992,1076
18327,11992,4913,944,4913,11992,944
18328,11992,9381,627,9381,11992,627
18329,11992,5260,1391,5260,11992,1391
18330,11992,4646,1016,4646,11992,1016
18331,11992,5992,853,5992,11992,853
18332,11992,2643,440,2643,11992,440
18333,11992,4024,758,4024,11992,758
18334,11992,2291,692,2291,11992,692
18335,11992,1947,852,1947,11992,852
18336,11992,5574,732,5574,11992,732
18337,11992,4824,1058,4824,11992,1058
18338,11992,7040,863,7040,11992,863
18339,11992,3791,163,3791,11992,163
18340,11992,10591,1046,10591,11992,1046
18341,11992,5563,936,5563,11992,936
18342,11992,10021,1009,10021,11992,1009
18343,11992,9020,984,9020,11992,984
18344,11992,4256,635,4256,11992,635
18345,11992,11070,1404,11070,11992,1404
18346,11992,5764,641,5764,11992,641
18347,11992,3923,177,3923,11992,177
18348,11992,11757,729,11757,11992,729
18349,11992,8257,1343,8257,11992,1343
18350,11992,11430,849,11430,11992,849
18351,11992,10550,841,10550,11992,841
18352,11992,3349,688,3349,11992,688
