,predicate,subject,object,sub,pred,obj
23430,10174,11990,2223,2223,10174,11990
23431,6595,11990,6063,6063,6595,11990
23432,10047,11990,10516,10516,10047,11990
23433,4818,11990,9906,9906,4818,11990
23434,2642,11990,3711,3711,2642,11990
23435,9607,11990,4745,4745,9607,11990
23436,3450,11990,11381,11381,3450,11990
23437,5051,11990,5337,5337,5051,11990
23438,3987,11990,11274,11274,3987,11990
23439,7792,11990,5368,5368,7792,11990
23440,2747,11990,2103,2103,2747,11990
23441,8801,11990,5570,5570,8801,11990
23442,4165,11990,5278,5278,4165,11990
23443,2718,11990,9707,9707,2718,11990
23444,8227,11990,10405,10405,8227,11990
23445,11088,11990,9640,9640,11088,11990
23446,7206,11990,2945,2945,7206,11990
23447,7780,11990,7373,7373,7780,11990
23448,1610,11990,4913,4913,1610,11990
23449,1556,11990,1964,1964,1556,11990
23450,9539,11990,6380,6380,9539,11990
23451,7680,11990,4633,4633,7680,11990
23452,6925,11990,9653,9653,6925,11990
23453,2817,11990,3249,3249,2817,11990
23454,7917,11990,3346,3346,7917,11990
23455,8659,11990,1824,1824,8659,11990
23456,4241,11990,9826,9826,4241,11990
23457,3485,11990,2817,2817,3485,11990
23458,10971,11990,10314,10314,10971,11990
23459,2519,11990,1849,1849,2519,11990
23460,4437,11990,6026,6026,4437,11990
23461,11975,11990,3697,3697,11975,11990
23462,10287,11990,10398,10398,10287,11990
23463,11696,11990,9371,9371,11696,11990
23464,5252,11990,10773,10773,5252,11990
23465,9730,11990,11291,11291,9730,11990
23466,4021,11990,5905,5905,4021,11990
23467,3039,11990,7071,7071,3039,11990
23468,6524,11990,8824,8824,6524,11990
23469,4447,11990,5555,5555,4447,11990
23470,3045,11990,6670,6670,3045,11990
23471,10680,11990,3345,3345,10680,11990
23472,6966,11990,2461,2461,6966,11990
23473,11074,11990,10473,10473,11074,11990
23474,3240,11990,8779,8779,3240,11990
23475,7530,11990,4352,4352,7530,11990
23476,10169,11990,4445,4445,10169,11990
23477,4576,11990,4691,4691,4576,11990
23478,10473,11990,4443,4443,10473,11990
23479,1972,11990,4533,4533,1972,11990
23480,6277,11990,4900,4900,6277,11990
23481,6295,11990,4724,4724,6295,11990
23482,10485,11990,4353,4353,10485,11990
23483,9261,11990,3767,3767,9261,11990
23484,11634,11990,8923,8923,11634,11990
23485,11156,11990,3604,3604,11156,11990
23486,6644,11990,2362,2362,6644,11990
23487,9513,11990,5269,5269,9513,11990
23488,3890,11990,7711,7711,3890,11990
23489,7061,11990,8176,8176,7061,11990
23490,3156,11990,10280,10280,3156,11990
23491,10397,11990,8329,8329,10397,11990
23492,7242,11990,11927,11927,7242,11990
23493,2123,11990,11882,11882,2123,11990
23494,8640,11990,7416,7416,8640,11990
23495,7803,11990,6225,6225,7803,11990
23496,6232,11990,2198,2198,6232,11990
23497,6618,11990,7513,7513,6618,11990
23498,3922,11990,5281,5281,3922,11990
23499,3659,11990,11906,11906,3659,11990
23500,8932,11990,10780,10780,8932,11990
23501,4649,11990,9400,9400,4649,11990
23502,9994,11990,3703,3703,9994,11990
23503,9046,11990,8004,8004,9046,11990
23504,8466,11990,9201,9201,8466,11990
23505,3902,11990,6966,6966,3902,11990
23506,9715,11990,5741,5741,9715,11990
23507,7327,11990,7354,7354,7327,11990
23508,5756,11990,5103,5103,5756,11990
23509,2592,11990,4686,4686,2592,11990
23510,9221,11990,9938,9938,9221,11990
23511,3704,11990,8881,8881,3704,11990
23512,1998,11990,5639,5639,1998,11990
23513,3531,11990,9929,9929,3531,11990
23514,6102,11990,7784,7784,6102,11990
23515,9699,11990,7058,7058,9699,11990
23516,7512,11990,3397,3397,7512,11990
23517,5456,11990,11296,11296,5456,11990
23518,3995,11990,7996,7996,3995,11990
23519,2384,11990,2354,2354,2384,11990
23520,2948,11990,6388,6388,2948,11990
23521,7890,11990,5071,5071,7890,11990
23522,7730,11990,11455,11455,7730,11990
23523,10940,11990,3171,3171,10940,11990
23524,5412,11990,3998,3998,5412,11990
23525,11315,11990,10811,10811,11315,11990
23526,4983,11990,1627,1627,4983,11990
23527,2587,11990,9204,9204,2587,11990
23528,7106,11990,10696,10696,7106,11990
23529,2636,11990,2227,2227,2636,11990
23530,1612,11990,10706,10706,1612,11990
23531,4470,11990,2109,2109,4470,11990
23532,2696,11990,8458,8458,2696,11990
23533,8029,11990,7924,7924,8029,11990
23534,10880,11990,10477,10477,10880,11990
23535,2856,11990,4350,4350,2856,11990
23536,4459,11990,8351,8351,4459,11990
